recinto,registros,funciones,aforo_max
AUDITORIO ANTON KRAUS - COLEGIO ANDINO,2,2,850
AUDITORIO UNIVERSIDAD DE MEDELLIN,2,2,150
AUDITORIO  COMITE DE GANADEROS DE LA DORADA,2,2,170
AVENIDA BOLIVAR #13N-07 - ARMENIA,2,2,80
TEATRO BERRIO - SANTA ROSA DE OSOS,2,2,318
TEATRO DEL PRESAGIO - CALI,2,2,200
440 MUSIC HALL,2,1,785
AUDITORIO LUIS MARTIN MANCIPE DE CULTURAMA | DUITAMA,2,2,365
"CARRERA 6 Nº 4-41 SEGUNDO PISO, VILLETA",1,1,150
CAMARA DE COMERCIO - CRA 12 NO 6-29B EL ROSARIO GARZON,1,1,200
CALLE 42 # 1 - 02 TERRAZA COMEDY HOUSE - TUNJA,1,1,65
CAPILLA DE LOS SANTO APOSTOLES DEL GIMNASIO MODERNO,1,1,280
CAMARA DE COMERCIO DE CASANARE - AUDITORIO QUIRIPA,1,1,656
INCOLBALLET SEDE CENTRAL,1,1,500
MONASTERY CLUB,1,1,380
MUDDY´S ROCK CAFE - CALLE 33B # 40 - 68,1,1,40
MUNICIPAL MUSICA VIVA - BUCARAMANGA,1,1,150
PANACA QUINDIO,1,1,10000
MR BEEF - FUSAGASUGA,1,1,160
CAMARA DE COMERCIO  DUITAMA: CENTRO DE EVENTOS Y NEGOCIOS,1,1,900
CAJACOPI PRADO,1,1,700
"CINE COLOMBO, MEDELLIN",1,1,160
JUANKA PUNTA DE ANCA - SOGAMOSO,1,1,190
CENTRO SOCIAL DE AGENTES Y PATRULLEROS,1,1,500
CENTRO NACIONAL DE LAS ARTES - SALA FOYER CLL10 NO 5-32,1,1,100
KIMERA FOOD AND DRINKS,1,1,500
PARQUE DE LOS PIES DESCALZOS,1,1,1000
PARQUE EL COUNTRY,1,1,800
IDILIO BAR,1,1,80
CENTRO COMERCIAL BAZAAR 80,1,1,130
AUDITORIO CINEMA CASANARE - CLL9 #23-33 (YOPAL),1,1,300
AUDITORIO HOTEL WAYRA DG 15 NO 21-10 (ACACIAS),1,1,180
AUDITORIO GONZALO PRADA MANTIL,1,1,382
AUDITORIO COPACABANA - CALLE 49 # 57A -47,1,1,130
LA MEDIA TORTA,1,1,2004
LA MILAGROSA - CALLE 8 #78-35 BARRIO CASTILLA,1,1,100
LA SALITA,1,1,45
LICEO FRANCES - CARRERA 8 NO 86 - 50,1,1,200
ESTADIO DITAIRES,1,1,3000
AUDITORIO CEG,1,1,700
THE CHURCH MEDELLIN,1,1,1000
TEATRO UNION HONDA TOLIMA,1,1,300
TIENDA DE TOO GEEK,1,1,500
"TONIKA VIP - CHAPARRAL, TOLIMA",1,1,300
TEATRO PUNTO DE PARTIDA,1,1,30
TEATRO TEB - TUNJA,1,1,115
UNIVERSIDAD INDUSTRIAL DE SANTANDER,1,1,203
AUDITORIO CAMARA DE COMERCIO DE IPIALES,1,1,200
AUDITORIO CAMARA DE COMERCIO  CARTAGO,1,1,270
AUDITORIO CAMARA DE COMERCIO DE FLORENCIA,1,1,350
AUDITORIO CAMARA DE COMERCIO DEL CAUCA - QUILICHAO,1,1,160
CINEMATECA DE BOGOTA - CENTRO GRAL,1,1,30
AUDITORIO BIBLIOTECA GERMAN ARCINIEGAS - V/CENCIO,1,1,400
"AUDITORIO LAS GARZAS COLEGIO COFREM - ACACIAS, META",1,1,350
AUDITORIO CINEMA CASANARE - CLL 9 NO 22-75 (YOPAL),1,1,324
CASA EL ROSAL,1,1,600
"LOS CAPACHOS - KM 4 VIA ACACIAS, 472 (VILLAVICENCIO)",1,1,450
LULA SHOTS BAR - CALLE 84A # 14 A -4,1,1,100
LOOP CLUB - TUNJA,1,1,150
CASA DANN CARLTON HOTEL - SALON BRITANIA CALLE 93B 19-44,1,1,690
CENTRO COMERCIAL EL TESORO,1,1,400
EL GATO QUE LEE Y TOMA CAFE -  CALLE 70 11 48,1,1,30
BAR LA TEQUILERA - FUSAGASUGA,1,1,170
"AUDITORIO ZEA MAYZ - CRA 8 #16 54, CHIA",1,1,700
AUTOPISTA NORTE #232-0 - EL PARCHE DE NAIRO,1,1,650
AVALON DISCO BAR CR2 N334	(ANAPOIMA),1,1,180
TEATRO CINEMA - CALLE 6 # 13- 07 (BUGA),1,1,402
TEATRO DON JUAN DE MARIA MARULANDA,1,1,301
TEATRO EL ESCONDITE,1,1,90
TEATRO EL ESPACIO - CALLE 39A # 25 - 28,1,1,40
TEATRO CECILIA | PAMPLONA N/SANTANDER,1,1,303
TEATRO CENTRO CULTURAL VALERIO ANTONIO JIMENEZ,1,1,700
BIBLIOTECA NACIONAL DE COLOMBIA,1,1,8
BOGOTA (DIRECCION EXACTA SE COMPARTE TRAS INSCRIPCION),1,1,30
SEDE GABRIEL OCHOA URIBE (CASCAJAL),1,1,397
SAN BONIFACIO,1,1,400
SALVIO PARQUE 93 HOTEL,1,1,100
TEATRO CASA DE LOS TITERES - CRA 9 # 4-55 COMUNA 3 - CALI,1,1,100
BARRANQUILLA  CALLE 106 NO 50-11,1,1,200
CABARET ROSA,1,1,70
BORA BORA - CALLE 8 #19-32 - LA MESA,1,1,100
DOUBLETREE BY HILTON PARQUE 93,1,1,200
RESTAURANTE LA ZIMA,1,1,250
"PROVINCIA  BAR -  CRA 7 #7-45, UBATE, CUNDINAMARCA",1,1,100
HOTEL HACARITAMA COLONIAL - VILLAVICENCIO,1,1,300
"HOTEL EL PRADO (CARRERA 54 #70-10, NORTE CENTRO HISTORICO)",1,1,209
HOTEL HOLIDAY INN CL 11A #1E – 132 | CUCUTA,1,1,310
"HOTEL JW MARRIOTT BOGOTA - CL 73 #8-60, CHAPINERO",1,1,300
HOTEL ESTELAR CARTAGENA,1,1,828
HOTEL SAN FERNANDO PLAZA,1,1,150
HOTEL SONESTA BOGOTA,1,1,160
HOTEL SHERATON BOGOTA - CL 25B #Nº 69 C-80,1,1,700
EL REY - CALLE 24C #75-69 - BOGOTA,1,1,150
ESPACIO VASTO - PEREIRA,1,1,112
PLAZA DE BOLIVAR,1,1,200
PLAZA DE LA PAZ,1,1,3758
PLAZA DE TOROS LA MONUMENTAL,1,1,8000
RESTAURANTE EL PORTICO - EL PORTICO KM 19 AUTOPISTA NORTE,1,1,2500
RESTAURANTE BAR AMAZONICA VILLAVICENCIO,1,1,100
DISCOTECA DULCINEA CALLE 44 NO 69-96 LAURELES,1,1,600
DAVIARENA,1,1,20
"BARCELONA BAR, PORTAL DE CERRITOS",1,1,84
"CLUB MEDELLIN, CALLE 50 # 43-65",1,1,800
BAR REY LAGARTO CARRERA 29 #17-74 CENTRO,1,1,150
"BAR SANTA FARRA - CL 17 #13 - 72, CENTRO-SUR",1,1,100
FLOW MULTIESPACIO - DUITAMA,1,1,350
"FOLK HOUSE - CALLE 25 #19-25, PISO 2 PAIPA",1,1,40
FUNDACION AUTONOMA DE LA SALLE AUDITORIO,1,1,300
FROGG CLUB,1,1,450
BAR LONDON BRIDGE PUB - CUCUTA,1,1,74
TEATRO METROPOLITANO - ZONA ABIERTA,1,1,4000
