site,type_site,confianza,aforo_max,funciones,fecha_clasificacion,fuente,modelo_llm
TEATRO COLEGIO SAN FELIPE NERI - PASTO,teatro,0.95,1126,2,2026-09-24,reglas_heuristicas,
TEATRINO MUNICIPAL  ENRIQUE BUENAVENTURA,teatro,0.95,206,4,2026-09-24,reglas_heuristicas,
SALON JUMBO COUNTRY CLUB,bar_club,0.915,1747,2,2026-09-24,reglas_heuristicas,
TEATRO ESTUDIO QUINTA PORRA,teatro,0.95,80,4,2026-09-24,reglas_heuristicas,
PUERTA DE ORO BARRANQUILLA - LA EXPLANADA,centro_eventos_carpa,0.985,5550,1,2026-09-24,reglas_heuristicas,
PUERTA DE ORO BARRANQUILLA,centro_eventos_carpa,0.985,6780,1,2026-09-24,reglas_heuristicas,
PARQUE DE LA 93,parque_aire_libre,0.985,240,1,2026-09-24,reglas_heuristicas,
PARQUE MUSEO EL CHICO,parque_aire_libre,0.985,6000,3,2026-09-24,reglas_heuristicas,
LA CUADRA PARED GASTRO BAR - CALLE 44 # 50-28,bar_club,0.915,80,4,2026-09-24,reglas_heuristicas,
DIAMANTE DE SOFTBOL,estadio_abierto,0.985,6624,1,2026-09-24,reglas_heuristicas,
LAS PALMAS CENTRO DE EVENTOS,centro_eventos_carpa,0.925,1068,1,2026-09-24,reglas_heuristicas,
AUDITORIO DE LA FUNDACION BATUTA CALDAS - MANIZALES,auditorio,0.93,250,4,2026-09-24,reglas_heuristicas,
AUDITORIO CAMARA DE COMERCIO SOGAMOSO,auditorio,0.93,466,3,2026-09-24,reglas_heuristicas,
TEATRO SANTAFE - BOGOTA,teatro,0.95,356,1,2026-09-24,reglas_heuristicas,
MOYS RESTAURANTE BAR,bar_club,0.985,525,2,2026-09-24,reglas_heuristicas,
CINARUCO BAR - CRA 14 NO 24A -15 - YOPAL,bar_club,0.985,300,3,2026-09-24,reglas_heuristicas,
KABALA BAR - MANIZALES,bar_club,0.985,100,3,2026-09-24,reglas_heuristicas,
PARQUE RECREATIVO COMFENALCO GUAYABAL,parque_aire_libre,0.895,8000,3,2026-09-24,reglas_heuristicas,
PARQUE EL NOGAL,parque_aire_libre,0.895,2000,3,2026-09-24,reglas_heuristicas,
"TEATRO BELARTE - CRA 7 #152- 54, BOGOTA",teatro,0.95,239,1,2026-09-24,reglas_heuristicas,
AUDITORIO ZEA MAYZ - CRA 7 # 15- 51 CHIA,auditorio,0.93,720,2,2026-09-24,reglas_heuristicas,
